Name_Description	GTEX-1117F-0226-SM-5GZZ7	GTEX-1117F-0426-SM-5EGHI	GTEX-1117F-0526-SM-5EGHJ
ENSG00000223972.5_DDX11L1	0	0	0
ENSG00000227232.5_WASH7P	187	109	143
ENSG00000278267.1_MIR6859-1	0	0	1
ENSG00000243485.5_MIR1302-2HG	1	0	0
ENSG00000237613.2_FAM138A	0	0	0
ENSG00000268020.3_OR4G4P	0	1	0
ENSG00000240361.1_OR4G11P	1	1	0
ENSG00000186092.4_OR4F5	0	2	1
ENSG00000238009.6_RP11-34P13.7	0	2	3
ENSG00000233750.3_CICP27	2	1	0
ENSG00000268903.1_RP11-34P13.15	39	4	15
ENSG00000269981.1_RP11-34P13.16	32	3	2
ENSG00000239906.1_RP11-34P13.14	0	0	0
ENSG00000241860.6_RP11-34P13.13	23	4	19
ENSG00000222623.1_RNU6-1100P	0	0	0
ENSG00000241599.1_RP11-34P13.9	1	0	0
ENSG00000279928.2_ABC7-43046700E7.1	5	2	2
ENSG00000279457.4_RP11-34P13.18	245	136	196
ENSG00000273874.1_MIR6859-2	0	0	0
ENSG00000228463.9_AP006222.2	45	16	20
ENSG00000236679.2_RPL23AP24	0	0	0
ENSG00000236743.1_RP5-857K21.15	0	0	0
ENSG00000236601.2_RP4-669L17.2	0	0	0
ENSG00000237094.11_RP4-669L17.10	28	13	21
ENSG00000269732.1_WBP1LP7	0	4	2
ENSG00000278566.1_OR4F29	0	1	0
ENSG00000233653.3_CICP7	0	1	1
ENSG00000250575.1_RP4-669L17.8	0	1	1
ENSG00000278757.1_U6	0	0	0
ENSG00000230021.8_RP5-857K21.4	4	7	4
ENSG00000235146.2_RP5-857K21.2	0	0	0
ENSG00000225972.1_MTND1P23	51	252	72
ENSG00000225630.1_MTND2P28	6023	14441	4298
ENSG00000237973.1_MTCO1P12	653	2113	523
ENSG00000229344.1_MTCO2P12	128	438	112
ENSG00000240409.1_MTATP8P1	59	254	51
ENSG00000248527.1_MTATP6P1	14594	76515	14283
ENSG00000198744.5_MTCO3P12	203	2858	183
ENSG00000268663.1_WBP1LP6	1	0	0
ENSG00000273547.1_OR4F16	1	0	0
ENSG00000283574.1_RP11-206L10.17	0	0	0
ENSG00000229376.3_CICP3	2	11	3
ENSG00000228327.3_RP11-206L10.2	898	363	731
ENSG00000223181.1_RNU6-1199P	0	2	0
ENSG00000229905.1_RP11-206L10.4	0	4	1
ENSG00000237491.8_RP11-206L10.9	80	41	67
ENSG00000230092.7_RP11-206L10.8	36	32	54
ENSG00000177757.2_FAM87B	76	24	52
ENSG00000228794.8_LINC01128	920	1070	1252
ENSG00000225880.5_LINC00115	170	83	264
ENSG00000230368.2_FAM41C	3	5	1
ENSG00000234711.1_TUBB8P11	3	0	2
ENSG00000283040.1_FAM166AP3	1	0	0
ENSG00000272438.1_RP11-54O7.16	1	2	0
ENSG00000230699.2_RP11-54O7.1	14	2	3
ENSG00000241180.1_RP11-54O7.2	0	0	0
ENSG00000223764.2_RP11-54O7.3	17	10	16
ENSG00000187634.11_SAMD11	20	35	14
ENSG00000188976.10_NOC2L	3839	5237	3660
ENSG00000187961.13_KLHL17	508	69	285
ENSG00000187583.10_PLEKHN1	85	23	60
ENSG00000187642.9_PERM1	67	1362	108
ENSG00000272512.1_RP11-54O7.17	29	13	49
ENSG00000188290.10_HES4	231	84	364
ENSG00000187608.8_ISG15	148	91	254
ENSG00000231702.2_RP11-54O7.10	0	1	0
ENSG00000224969.1_RP11-54O7.11	4	0	1
ENSG00000188157.14_AGRN	2684	1013	1535
ENSG00000217801.9_RP11-465B22.3	9	11	5
ENSG00000273443.1_RP11-54O7.18	2	1	0
ENSG00000237330.2_RNF223	10	18	2
ENSG00000131591.17_C1orf159	1362	255	774
ENSG00000223823.1_LINC01342	5	3	3
ENSG00000207730.3_MIR200B	1	0	0
ENSG00000207607.3_MIR200A	0	0	0
ENSG00000198976.1_MIR429	0	2	1
ENSG00000272141.1_RP11-465B22.8	23	6	3
ENSG00000205231.1_TTLL10-AS1	13	4	2
ENSG00000162571.13_TTLL10	34	61	17
ENSG00000186891.13_TNFRSF18	63	11	48
ENSG00000186827.10_TNFRSF4	179	73	60
ENSG00000078808.16_SDF4	7844	4386	5894
ENSG00000176022.4_B3GALT6	775	793	299
ENSG00000184163.3_C1QTNF12	155	77	219
ENSG00000260179.1_RP5-902P8.12	36	46	99
ENSG00000160087.20_UBE2J2	2084	1801	1628
ENSG00000230415.1_LINC01786	25	14	30
ENSG00000162572.20_SCNN1D	564	167	279
ENSG00000131584.18_ACAP3	2255	934	1201
ENSG00000278073.1_MIR6726	0	0	0
ENSG00000169972.11_PUSL1	387	202	293
ENSG00000127054.20_INTS11	4666	5437	6862
ENSG00000283712.1_MIR6727	0	0	0
ENSG00000240731.1_RP5-890O3.9	173	60	333
ENSG00000224051.6_CPTP	1146	325	498
ENSG00000169962.4_TAS1R3	52	51	40
ENSG00000107404.19_DVL1	3954	8688	3459
ENSG00000284372.1_MIR6808	0	0	0
ENSG00000162576.16_MXRA8	44983	1051	5593
ENSG00000175756.13_AURKAIP1	2140	3527	1521
ENSG00000223663.2_NDUFB4P8	2	4	0
ENSG00000221978.11_CCNL2	18003	6121	10685
ENSG00000224870.6_RP4-758J18.2	631	391	339
ENSG00000242485.5_MRPL20	1768	3542	1235
ENSG00000272455.1_RP4-758J18.13	121	172	120
ENSG00000235098.8_ANKRD65	212	33	47
ENSG00000225905.1_RP4-758J18.7	3	0	2
ENSG00000205116.3_TMEM88B	1	2	2
ENSG00000225285.1_LINC01770	28	3	30
ENSG00000179403.11_VWA1	989	321	1315
ENSG00000215915.9_ATAD3C	33	17	27
ENSG00000160072.19_ATAD3B	1496	658	1130
ENSG00000197785.13_ATAD3A	1009	1049	552
ENSG00000205090.8_TMEM240	177	105	67
ENSG00000160075.11_SSU72	4491	9610	3664
ENSG00000215014.4_RP5-832C2.5	157	252	111
ENSG00000274481.1_RP11-345P4.11	1	0	0
ENSG00000228594.3_FNDC10	45	19	8
ENSG00000272106.1_RP11-345P4.9	693	728	753
ENSG00000197530.12_MIB2	2590	5216	2272
ENSG00000189409.13_MMP23B	63	3	17
ENSG00000248333.8_CDK11B	2876	3945	3191
ENSG00000272004.1_RP11-345P4.10	0	0	0
ENSG00000189339.11_SLC35E2B	3432	942	2118
ENSG00000269737.2_RP11-345P4.6	182	40	121
ENSG00000215914.4_MMP23A	20	0	16
ENSG00000008128.22_CDK11A	2033	1193	1945
ENSG00000227775.3_RP1-283E3.4	390	103	228
ENSG00000215790.6_SLC35E2	309	92	204
ENSG00000008130.15_NADK	3931	1100	2931
ENSG00000078369.17_GNB1	14386	2369	15605
ENSG00000231050.1_RP1-140A9.1	26	90	4
ENSG00000169885.9_CALML6	24	392	27
ENSG00000178821.12_TMEM52	12	1778	12
ENSG00000142609.17_CFAP74	6	0	3
ENSG00000233542.1_RP11-547D24.1	6	1	4
ENSG00000187730.8_GABRD	23	36	31
ENSG00000226969.1_RP11-547D24.3	1	0	0
ENSG00000067606.16_PRKCZ	334	18	28
ENSG00000271806.1_RP5-892K4.1	19	0	8
ENSG00000182873.5_PRKCZ-AS1	154	45	130
ENSG00000162585.16_FAAP20	1457	500	1324
ENSG00000234396.3_RP11-181G12.4	5	0	1
ENSG00000157933.9_SKI	8572	4533	7829
ENSG00000116151.13_MORN1	183	83	223
ENSG00000272161.1_RP4-713A8.1	1	0	2
ENSG00000269896.2_RP4-740C4.5	21	4	9
ENSG00000272420.1_RP4-740C4.7	12	2	9
ENSG00000157916.19_RER1	5382	3051	3579
ENSG00000157911.9_PEX10	485	389	341
ENSG00000149527.17_PLCH2	180	27	79
ENSG00000224387.1_RP3-395M20.2	3	0	0
ENSG00000229393.1_RP3-395M20.3	3	0	0
ENSG00000157881.13_PANK4	1072	863	473
ENSG00000197921.5_HES5	2	4	0
ENSG00000272449.1_RP3-395M20.12	40	2	27
ENSG00000238164.6_RP3-395M20.8	230	81	108
ENSG00000157873.17_TNFRSF14	6623	605	2800
ENSG00000225931.3_RP3-395M20.7	19	4	13
ENSG00000228037.1_RP3-395M20.9	35	11	24
ENSG00000157870.14_FAM213B	649	129	286
ENSG00000142606.15_MMEL1	15	0	2
ENSG00000237058.1_RP13-436F16.1	0	0	0
ENSG00000215912.12_TTC34	92	23	117
ENSG00000283259.1_ABC14-1188822O7.1	0	0	0
ENSG00000233234.1_RP11-740P5.2	0	0	0
ENSG00000231630.1_RP11-740P5.3	0	0	0
ENSG00000169717.6_ACTRT2	0	0	6
ENSG00000177133.10_LINC00982	65	15	1856
ENSG00000142611.16_PRDM16	203	73	4541
ENSG00000283572.1_MIR4251	0	0	0
ENSG00000226286.1_RP1-163G9.2	0	0	1
ENSG00000279839.1_RP11-193J6.1	1	0	18
ENSG00000272235.1_RP11-22L13.1	1	0	45
ENSG00000130762.14_ARHGEF16	378	20	33
ENSG00000272088.1_RP11-168F9.2	5	3	0
ENSG00000162591.15_MEGF6	15877	728	2574
ENSG00000207776.1_MIR551A	0	0	0
ENSG00000238260.1_RP11-46F15.2	23	1	3
ENSG00000158109.14_TPRG1L	4670	3238	3375
ENSG00000116213.15_WRAP73	786	549	463
ENSG00000078900.14_TP73	13	59	16
ENSG00000227589.1_RP5-1092A11.5	0	2	0
ENSG00000235131.1_RP5-1092A11.2	0	2	1
ENSG00000227372.11_TP73-AS1	2240	1361	2251
ENSG00000162592.9_CCDC27	2	4	0
ENSG00000235169.7_SMIM1	10	13	31
ENSG00000130764.9_LRRC47	2555	8376	2383
ENSG00000266075.2_RN7SL574P	2	2	0
ENSG00000272153.1_RP1-286D6.5	22	9	18
ENSG00000116198.12_CEP104	1347	995	1562
ENSG00000169598.15_DFFB	496	121	302
ENSG00000198912.10_C1orf174	832	253	605
ENSG00000236423.5_LINC01134	7	3	0
ENSG00000233304.6_LINC01346	0	0	0
ENSG00000226374.2_LINC01345	0	0	0
ENSG00000229280.1_EEF1DP6	0	0	0
ENSG00000235054.3_LINC01777	0	0	0
ENSG00000227169.2_RP1-37J18.1	0	0	0
ENSG00000232596.2_LINC01646	0	0	0
ENSG00000196581.10_AJAP1	139	9	70
ENSG00000231510.1_RP11-542C10.1	0	0	0
ENSG00000260972.1_RP1-58B11.1	0	0	0
ENSG00000283356.1_RP3-491M17.1	0	0	0
ENSG00000236948.2_RP11-154H17.1	0	0	0
ENSG00000264341.1_MIR4417	0	0	0
ENSG00000264101.1_MIR4689	0	0	0
ENSG00000131697.17_NPHP4	681	249	480
ENSG00000069424.14_KCNAB2	2236	1159	1021
ENSG00000116254.17_CHD5	153	176	390
ENSG00000116251.9_RPL22	14462	11116	18539
ENSG00000226944.1_RP1-120G22.11	4	1	7
ENSG00000158286.12_RNF207	88	50	98
ENSG00000116237.15_ICMT	2196	2456	1358
ENSG00000225077.2_LINC00337	4	0	0
ENSG00000173673.7_HES3	1	0	1
ENSG00000158292.6_GPR153	1257	50	193
ENSG00000097021.19_ACOT7	318	370	479
ENSG00000069812.11_HES2	88	4	30
ENSG00000187017.15_ESPN	63	10	21
ENSG00000265392.1_MIR4252	0	0	0
ENSG00000231868.1_RP1-202O8.2	0	0	0
ENSG00000215788.9_TNFRSF25	334	52	108
ENSG00000171680.21_PLEKHG5	1857	366	455
ENSG00000162408.10_NOL9	1915	1754	1332
ENSG00000253022.1_RNU6-731P	0	0	0
ENSG00000229519.2_RP11-58A11.2	7	4	1
ENSG00000173662.20_TAS1R1	22	32	7
ENSG00000204859.12_ZBTB48	1025	439	1106
ENSG00000162413.16_KLHL21	4313	15642	4917
ENSG00000116273.5_PHF13	1829	482	1598
ENSG00000041988.15_THAP3	767	500	456
ENSG00000007923.15_DNAJC11	1260	925	975
ENSG00000228750.6_LINC01672	0	0	2
ENSG00000237436.1_RP11-312B8.1	0	5	2
ENSG00000171735.18_CAMTA1	1103	1134	1736
ENSG00000227950.1_RP11-312B8.2	1	0	0
ENSG00000237365.1_RP11-334N17.1	0	0	0
ENSG00000207056.1_RNU1-8P	1	0	0
ENSG00000237402.1_CAMTA1-IT1	7	2	7
ENSG00000237728.2_RP3-453P22.2	0	0	1
ENSG00000225126.1_RP4-549F15.1	0	0	0
ENSG00000270171.1_RP11-338N10.1	2	0	0
ENSG00000270035.1_RP11-338N10.2	4	0	2
ENSG00000269978.1_RP11-338N10.3	3	0	0
ENSG00000049245.12_VAMP3	6625	3787	7450
ENSG00000269925.1_RP3-467L1.6	30	7	16
ENSG00000049246.14_PER3	3931	2606	6028
ENSG00000236266.1_RP3-467L1.4	24	11	34
ENSG00000049247.13_UTS2	1	0	0
ENSG00000049249.8_TNFRSF9	3	2	8
ENSG00000270330.1_RP5-892F13.2	0	0	0
ENSG00000116288.12_PARK7	5431	6918	4869
ENSG00000200344.1_Y_RNA	0	2	1
