Site,TreeID,Circumf_2005_cm,Circumf_2010_cm,Circumf_2015_cm,Circumf_2020_cm
northeast,A012,5.2,10.1,19.9,38.9
southwest,A039,4.9,9.6,18.9,37
southwest,A010,3.7,7.3,14.3,28.1
northeast,A087,3.8,6.5,10.9,18.5
southwest,A074,3.8,6.4,10.9,18.4
northeast,A008,5.9,10,16.8,28.4
northeast,A035,4.4,9.9,22.2,50
northeast,A053,5.3,9,15.2,25.8
southwest,A023,7.1,12,20.2,34.2
southwest,A024,3.8,7.4,14.5,28.4
southwest,A021,5.4,10.5,20.6,40.5
northeast,A046,3.5,6.8,13.3,26
southwest,A085,2.4,4.1,7,11.8
southwest,A064,5.9,13.3,30,67.6
southwest,A097,6.5,11,18.6,31.4
southwest,A048,2.9,5.7,11.1,21.8
northeast,A070,5,8.5,14.3,24.2
northeast,A092,7.2,16.3,36.7,82.5
southwest,A095,5,11.2,25.1,56.5
southwest,A081,6.5,12.8,25,49.1
northeast,A044,5.4,12.2,27.5,61.8
southwest,A058,6.6,15,33.7,75.7
southwest,A096,4.7,10.6,23.8,53.6
northeast,A052,6.3,10.7,18,30.5
southwest,A065,5.1,10,19.6,38.4
northeast,A016,4.8,10.8,24.2,54.6
southwest,A050,3.7,8.2,18.5,41.7
northeast,A011,5.1,11.5,25.8,58
southwest,A015,5.3,11.8,26.6,59.9
northeast,A099,5.4,12.2,27.4,61.7
northeast,A066,5.8,9.8,16.6,28
southwest,A009,4.3,9.7,21.8,49
southwest,A036,4.5,10.2,23,51.8
northeast,A100,6.2,12.2,23.8,46.7
northeast,A071,5,8.4,14.3,24.1
southwest,A002,5.5,10.8,21.2,41.5
southwest,A047,4.8,8.1,13.7,23.1
southwest,A029,3.2,6.3,12.4,24.2
southwest,A038,4.8,9.4,18.4,36
northeast,A072,5.7,11.2,22,43.2
southwest,A032,4.7,9.2,18.1,35.5
southwest,A017,5.3,8.9,15.1,25.5
southwest,A006,5.5,9.3,15.7,26.5
northeast,A045,5.6,9.5,16.1,27.2
northeast,A030,5.4,10.6,20.8,40.9
northeast,A049,5.7,9.6,16.2,27.4
southwest,A061,5.4,12.1,27.2,61.2
northeast,A090,6.9,15.4,34.8,78.2
northeast,A055,3.9,6.7,11.3,19
southwest,A001,5.1,10,19.7,38.6
southwest,A089,5.3,13.5,34.6,88.7
northeast,A091,5.2,10.1,19.8,38.8
northeast,A082,6.2,15.9,40.6,103.9
southwest,A033,5.1,11.5,25.9,58.3
northeast,A042,3.6,9.1,23.4,59.8
northeast,A098,6.6,14.9,33.6,75.5
northeast,A007,6.6,16.9,43.2,110.6
northeast,A025,5.1,12.9,33.2,84.9
northeast,A077,4.1,10.6,27.1,69.3
northeast,A062,4.4,8.7,17,33.3
northeast,A086,3.9,8.9,19.9,44.8
northeast,A076,5.4,10.6,20.7,40.6
southwest,A067,4.7,12.1,31,79.3
southwest,A069,4.2,9.4,21.1,47.6
southwest,A028,3.9,7.6,14.9,29.2
southwest,A041,5,12.8,32.9,84.2
southwest,A075,3.9,9.9,25.3,64.9
northeast,A060,6.1,13.7,30.8,69.4
northeast,A034,3.8,7.4,14.5,28.5
southwest,A073,7.3,14.3,28,54.9
northeast,A040,5.1,11.4,25.7,57.7
southwest,A004,5.3,12,27,60.8
northeast,A003,6.4,14.3,32.3,72.6
southwest,A018,2.8,5.5,10.9,21.3
northeast,A005,6,15.3,39.3,100.6
northeast,A019,4.1,9.3,20.9,47
northeast,A051,6.4,14.5,32.6,73.4
southwest,A056,3.7,8.3,18.6,41.8
northeast,A083,5.5,14.1,36.1,92.4
southwest,A031,4.7,10.6,23.8,53.5
northeast,A079,4.2,8.3,16.2,31.8
northeast,A059,4.7,9.3,18.2,35.7
southwest,A088,5.4,10.6,20.8,40.8
southwest,A080,3.9,10.1,25.9,66.2
southwest,A027,3.3,7.4,16.6,37.4
southwest,A037,6.1,12,23.6,46.2
southwest,A013,4.7,11.9,30.5,78
northeast,A068,5,12.8,32.7,83.8
southwest,A020,6,11.8,23.1,45.3
northeast,A026,5.6,14.4,37,94.6
northeast,A022,5.7,12.8,28.7,64.6
southwest,A014,6.2,12.2,23.9,46.8
northeast,A057,4.5,8.8,17.2,33.7
northeast,A054,6.4,12.5,24.5,48
northeast,A094,6.1,15.6,39.9,102
southwest,A084,5,9.9,19.4,38
northeast,A093,5,11.3,25.4,57.2
southwest,A043,7,13.7,26.9,52.8
southwest,A078,3.2,7.3,16.4,36.8
northeast,A063,5.4,12.1,27.2,61.3
