GeneID	SRR5150592	SRR5150593
ENSG00000223972	1	0
ENSG00000227232	0	1
ENSG00000278267	0	0
ENSG00000243485	0	0
ENSG00000284332	0	0
ENSG00000237613	0	0
ENSG00000268020	0	0
ENSG00000240361	0	0
ENSG00000186092	0	0
ENSG00000238009	0	0
ENSG00000239945	0	0
ENSG00000233750	0	0
ENSG00000268903	0	0
ENSG00000269981	0	0
ENSG00000239906	0	0
ENSG00000241860	0	1
ENSG00000222623	0	0
ENSG00000241599	0	0
ENSG00000279928	0	0
ENSG00000279457	8	13
ENSG00000273874	0	0
ENSG00000228463	1	2
ENSG00000236679	0	0
ENSG00000236601	0	0
ENSG00000237094	3	1
ENSG00000269732	0	0
ENSG00000284733	0	0
ENSG00000233653	0	0
ENSG00000250575	0	0
ENSG00000278757	0	0
ENSG00000230021	3	2
ENSG00000235146	0	0
ENSG00000225972	12	17
ENSG00000225630	877	866
ENSG00000237973	117	139
ENSG00000278791	0	0
ENSG00000229344	16	26
ENSG00000240409	7	9
ENSG00000248527	4713	5364
ENSG00000198744	23	17
ENSG00000268663	0	0
ENSG00000284662	0	0
ENSG00000229376	0	0
ENSG00000228327	31	23
ENSG00000223181	0	0
ENSG00000229905	0	0
ENSG00000237491	37	47
ENSG00000230092	10	14
ENSG00000177757	15	15
ENSG00000228794	226	199
ENSG00000225880	35	31
ENSG00000230368	0	1
ENSG00000234711	0	1
ENSG00000283040	0	0
ENSG00000272438	1	1
ENSG00000230699	2	1
ENSG00000241180	0	0
ENSG00000223764	19	7
ENSG00000187634	21	6
ENSG00000188976	2420	2133
ENSG00000187961	213	176
ENSG00000187583	57	31
ENSG00000187642	11	13
ENSG00000272512	53	57
ENSG00000188290	364	268
ENSG00000187608	498	426
ENSG00000231702	2	0
ENSG00000224969	4	3
ENSG00000188157	6374	5634
ENSG00000242590	0	0
ENSG00000217801	31	37
ENSG00000273443	2	3
ENSG00000237330	0	1
ENSG00000131591	244	174
ENSG00000223823	0	0
ENSG00000207730	0	0
ENSG00000207607	0	0
ENSG00000198976	0	0
ENSG00000272141	1	0
ENSG00000205231	0	0
ENSG00000162571	0	0
ENSG00000186891	0	1
ENSG00000186827	0	0
ENSG00000078808	3007	2772
ENSG00000176022	392	413
ENSG00000184163	4	7
ENSG00000260179	10	4
ENSG00000160087	1197	1044
ENSG00000230415	20	18
ENSG00000162572	100	84
ENSG00000131584	881	675
ENSG00000278073	0	0
ENSG00000169972	180	150
ENSG00000127054	1921	1745
ENSG00000283712	0	0
ENSG00000240731	51	42
ENSG00000224051	430	368
ENSG00000169962	18	8
ENSG00000107404	891	774
