GeneID	SRR5150592	SRR5150593	SRR5150594	SRR5150595	SRR5150596	SRR5150597
ENSG00000223972	1	0	0	0	0	0
ENSG00000227232	0	1	0	2	1	1
ENSG00000278267	0	0	1	0	0	0
ENSG00000243485	0	0	0	0	1	1
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	0	0	0	1	0	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0
ENSG00000268903	0	0	1	1	0	0
ENSG00000269981	0	0	0	0	2	0
ENSG00000239906	0	0	0	0	0	0
ENSG00000241860	0	1	0	1	0	0
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0
ENSG00000279457	8	13	13	22	14	24
ENSG00000273874	0	0	0	0	0	0
ENSG00000228463	1	2	5	0	2	3
ENSG00000236679	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000237094	3	1	4	4	5	6
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	3	2	1	0	4	7
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	12	17	4	16	10	13
ENSG00000225630	877	866	771	863	815	716
ENSG00000237973	117	139	101	208	145	115
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	16	26	25	27	17	19
ENSG00000240409	7	9	5	9	9	8
ENSG00000248527	4713	5364	3825	5390	5822	4649
ENSG00000198744	23	17	12	17	20	27
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	0	0	1	0	1	1
ENSG00000228327	31	23	18	21	36	30
ENSG00000223181	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000237491	37	47	37	32	27	31
ENSG00000230092	10	14	3	4	10	8
ENSG00000177757	15	15	9	14	13	21
ENSG00000228794	226	199	211	201	192	164
ENSG00000225880	35	31	21	33	19	25
ENSG00000230368	0	1	0	0	0	0
ENSG00000234711	0	1	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	1	1	0	0	0	0
ENSG00000230699	2	1	2	0	0	2
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	19	7	20	1	3	2
ENSG00000187634	21	6	21	6	6	13
ENSG00000188976	2420	2133	2567	2087	1832	2063
ENSG00000187961	213	176	239	317	206	323
ENSG00000187583	57	31	52	32	39	36
ENSG00000187642	11	13	12	13	3	8
ENSG00000272512	53	57	30	111	87	51
ENSG00000188290	364	268	304	474	340	310
ENSG00000187608	498	426	589	801	864	560
ENSG00000231702	2	0	0	0	0	0
ENSG00000224969	4	3	2	2	1	3
ENSG00000188157	6374	5634	5778	8992	7750	8817
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	31	37	23	84	69	85
ENSG00000273443	2	3	3	4	3	4
ENSG00000237330	0	1	2	1	1	0
ENSG00000131591	244	174	227	231	203	271
ENSG00000223823	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0
ENSG00000272141	1	0	0	0	0	0
ENSG00000205231	0	0	0	0	1	0
ENSG00000162571	0	0	0	0	0	2
ENSG00000186891	0	1	0	1	3	0
ENSG00000186827	0	0	1	5	7	0
ENSG00000078808	3007	2772	2937	3316	3181	3211
ENSG00000176022	392	413	407	533	518	437
ENSG00000184163	4	7	6	9	9	12
ENSG00000260179	10	4	5	6	7	11
ENSG00000160087	1197	1044	1165	1099	1016	1135
ENSG00000230415	20	18	24	33	25	31
ENSG00000162572	100	84	106	148	129	131
ENSG00000131584	881	675	866	730	724	726
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	180	150	185	170	202	159
ENSG00000127054	1921	1745	1919	2154	2103	2092
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	51	42	65	64	51	49
ENSG00000224051	430	368	442	434	375	409
ENSG00000169962	18	8	8	13	22	14
ENSG00000107404	891	774	873	1203	1047	1167
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	17	10	17	15	9	20
ENSG00000175756	1264	1143	1275	1258	1042	1242
ENSG00000223663	2	1	1	1	0	0
ENSG00000221978	4031	3807	3724	5356	5446	4875
ENSG00000224870	271	317	308	333	296	309
ENSG00000242485	1024	937	1006	915	818	829
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	22	34	13	16	19	19
ENSG00000235098	1	0	0	7	3	3
ENSG00000225905	0	0	0	0	0	0
ENSG00000205116	0	0	0	0	1	0
ENSG00000225285	0	0	1	0	1	1
ENSG00000179403	124	87	126	225	207	209
ENSG00000215915	2	0	2	2	7	5
ENSG00000160072	577	456	660	445	443	443
ENSG00000284740	2	1	3	2	1	1
ENSG00000197785	1132	852	1058	860	711	825
ENSG00000205090	36	31	33	35	31	26
ENSG00000160075	2810	2744	2759	2505	2513	2483
ENSG00000215014	10	11	12	10	10	8
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	165	146	176	143	150	138
ENSG00000272106	46	39	51	40	48	28
ENSG00000197530	744	632	639	1080	979	972
ENSG00000189409	0	0	0	1	0	0
ENSG00000248333	1349	1326	1227	1382	1425	1397
ENSG00000272004	0	0	0	0	0	0
ENSG00000189339	799	695	698	1039	1089	1029
ENSG00000269737	32	36	30	47	43	38
ENSG00000215914	0	0	0	0	0	1
ENSG00000008128	47	34	51	59	55	64
ENSG00000268575	12	21	21	16	26	23
ENSG00000227775	49	42	51	56	65	79
ENSG00000215790	25	15	30	35	30	31
ENSG00000008130	1651	1522	1524	1569	1502	1519
ENSG00000078369	16787	16172	16641	16429	15892	16236
ENSG00000231050	7	3	2	3	3	1
ENSG00000169885	7	8	5	13	10	7
ENSG00000178821	22	25	22	39	36	33
ENSG00000142609	12	12	11	28	27	21
ENSG00000233542	0	0	0	2	0	3
ENSG00000187730	8	11	6	36	32	55
ENSG00000226969	0	0	0	0	0	1
ENSG00000067606	180	174	184	346	299	298
ENSG00000271806	2	1	3	5	1	4
ENSG00000182873	44	45	41	32	32	43
ENSG00000162585	560	473	514	611	594	627
ENSG00000234396	1	0	0	2	0	0
ENSG00000157933	2320	2113	2315	2284	2373	2313
ENSG00000116151	131	158	157	177	181	195
ENSG00000272161	1	0	0	0	1	0
ENSG00000269896	20	23	20	23	23	29
ENSG00000272420	4	5	4	7	5	2
ENSG00000157916	2420	2200	2424	2410	2328	2451
ENSG00000157911	281	252	282	279	275	296
ENSG00000149527	6	3	7	9	9	10
ENSG00000224387	0	0	1	0	1	0
ENSG00000229393	0	0	1	0	0	0
ENSG00000157881	647	605	741	816	674	843
ENSG00000197921	0	0	1	0	1	0
ENSG00000272449	0	4	1	3	1	1
ENSG00000238164	3	1	1	0	4	3
ENSG00000157873	192	220	225	292	305	262
ENSG00000225931	0	0	1	0	0	0
ENSG00000228037	0	0	0	0	0	0
ENSG00000157870	498	441	470	517	417	471
ENSG00000142606	2	0	1	2	4	5
ENSG00000237058	0	0	0	0	0	0
ENSG00000215912	7	13	2	17	17	6
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	1	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0
ENSG00000142611	1	0	0	1	1	1
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000272235	0	1	0	0	2	0
ENSG00000130762	91	75	80	112	123	103
ENSG00000272088	2	7	1	4	6	3
ENSG00000162591	1429	1012	1290	2326	2088	1876
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	2	1	1	2	0	1
ENSG00000158109	559	540	640	817	813	753
ENSG00000116213	513	438	536	644	613	619
ENSG00000078900	132	118	118	126	112	98
ENSG00000227589	0	0	0	2	0	0
ENSG00000235131	1	2	1	0	0	0
ENSG00000227372	880	880	917	1047	1071	1046
ENSG00000276189	0	0	0	0	0	0
ENSG00000162592	0	0	0	1	1	1
ENSG00000235169	6	6	7	14	10	16
ENSG00000130764	1097	1071	1132	1239	1187	1170
ENSG00000266075	2	0	1	0	0	1
ENSG00000272153	26	12	16	19	21	25
ENSG00000116198	848	836	858	952	879	976
ENSG00000169598	162	136	173	156	162	151
ENSG00000198912	585	580	593	602	620	565
ENSG00000236423	12	9	5	8	11	12
ENSG00000233304	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
